place_id,neighborhood,fire_incidents
ChIJ_1b4IbjwNIgRjYRAhKZ1wTY,Overbrook,16
ChIJ0Tm13OvwNIgRd6Cyi2zNqzY,Carrick,21
ChIJowOx8_TxNIgRcQXbjaDQvo0,Hazelwood,67
ChIJ8VB-Df_xNIgRa-D5onRVEdU,Squirrel Hill South,41
ChIJvcPoEB_yNIgR-TeMN1nZJgg,Squirrel Hill North,21
ChIJmUD-Tg_yNIgRjX-pVSnbHHA,Squirrel Hill North,4
ChIJwaWqIiTyNIgRTdPU35k894M,North Oakland,55
ChIJPdv8abnwNIgRa5VzInjhU88,Carrick,1
ChIJC_YhYcDzNIgRVzMjLFx3HZ8,Troy Hill,12
ChIJJe_uOcDzNIgR8YLaMjdCm2g,Troy Hill,23
ChIJiRi3FsPzNIgR5toi1zAe7_M,Strip District,9
ChIJLRHyqyrzNIgRg1E9MSopuwM,Strip District,14
ChIJR8TLzHzzNIgReN19aeZvS6k,Strip District,12
ChIJR-ud98TzNIgREwnaG2ksz6k,Strip District,8
ChIJs4HYnE_zNIgRoYZtaOT_RTM,Strip District,8
ChIJoWlLstzzNIgRDds3XRCI9mk,Strip District,12
ChIJrVe4FsPzNIgRaWOwAtTRFbM,Strip District,8
ChIJoViZxtzzNIgR--aU6Fhglr4,Strip District,11
ChIJOZR61MDzNIgRsoLC_sqy2Os,Strip District,6
ChIJ4SrQ-rTzNIgRBCWal8EzERk,Lower Lawrenceville,12
ChIJF93Zb9HzNIgRaXsPqpc12X4,Middle Hill,20
ChIJE4Rn39zzNIgReCoU59ojZys,Strip District,9
ChIJ32HHK-7zNIgR2F3P1Ze_Veo,Strip District,7
ChIJubqwEWHtNIgRtWvOBB7IOkk,Strip District,16
ChIJ5UoaTrPzNIgR67C6D3W0d-M,Lower Lawrenceville,13
ChIJZSp_uMXzNIgRfjYvmWaoQis,Strip District,4
ChIJlSQhw9zzNIgRulyV3c9lAFY,Strip District,11
