place_id,name,latitude,longitude,formatted_address,street_number,route,neighborhood,postal_code,curbside_pickup,price_level,rating,user_ratings_total,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close
ChIJhxsVUjH1NIgRNfLs1waTrkc,Kay & Diane’s 1910 Room,40.4589787,-80.0278065,"1910 Manhattan St, Pittsburgh, PA 15233, USA",1910,Manhattan Street,Manchester,15233,,,,,1700,2200,,,,,,,,,,,,
ChIJbXv84wX0NIgRocFxXgoWztk,Riggs Lounge,40.45477459999999,-80.0146713,"1206 Brighton Rd, Pittsburgh, PA 15233, USA",1206,Brighton Road,Central Northside,15233,False,1,4.5,198,,,1500,0100,1500,0100,1500,0100,1500,0100,1500,0100,1500,0100
ChIJaZkHl_f1NIgRDo8-Ih0S-68,ShadoBeni - Trinidadian Vegan Cuisine,40.4578275,-80.0156868,"1534 Brighton Rd, Pittsburgh, PA 15212, USA",1534,Brighton Road,Central Northside,15212,,,5,58,1100,1500,,,,,1130,1900,1130,1900,1130,1900,1100,1500
ChIJV-WNXQT0NIgRIlshvd0VSxE,Bier's Pub & War Streets Brewery,40.4520412,-80.01676789999999,"900 Western Ave, Pittsburgh, PA 15233, USA",900,Western Avenue,Allegheny-West,15233,True,,4.5,528,1030,2100,,,,,1130,2200,1130,2200,1130,2300,1030,2300
ChIJjwuJs67zNIgRf-pZyHcOnq0,Pauline's Caribbean Soul Cuisine,40.4561256,-80.0065359,"1204 Federal St, Pittsburgh, PA 15212, USA",1204,Federal Street,Central Northside,15212,,2,4.5,110,,,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,1200,1900
ChIJ-2C3sPfzNIgRpVpqW11Hncs,Siempre Algo,40.453526,-80.00108279999999,"414 E Ohio St, Pittsburgh, PA 15212, USA",414,East Ohio Street,East Allegheny,15212,False,,4.7,194,,,,,,,1700,2200,1700,2200,1700,2200,1700,2300
ChIJR4nVEVbxNIgRbbtd9j788xU,Braddock's Rebellion,40.4437998,-80.0024849,"107 6th St, Pittsburgh, PA 15222, USA",107,6th Street,Downtown,15222,,3,4.1,282,0930,0000,1500,0000,1500,0000,1500,0000,1500,0000,1100,0100,0930,0100
ChIJ35Bl9PjzNIgRTIhia8PVFEY,Parkhurst Dining Services,40.4511829,-80.0048758,"10 Allegheny Square E, Pittsburgh, PA 15212, USA",10,Allegheny Square East,Allegheny Center,15212,,,5,1,,,0700,1400,0700,1400,0700,1400,0700,1400,0700,1400,,
ChIJGRG_kPrzNIgRJRT0EjM9vSI,Lillen's Restaurant,40.45359670000001,-79.9994251,"535 E Ohio St, Pittsburgh, PA 15212, USA",535,East Ohio Street,East Allegheny,15212,True,1,3.8,237,0800,2200,0800,2300,0800,2300,0800,2300,0800,2300,0800,0000,0800,0000
ChIJp2EIZfDzNIgRq-iQ1IuOs3Y,Max's Allegheny Tavern,40.455183,-79.999742,"537 Suismon St, Pittsburgh, PA 15212, USA",537,Suismon Street,East Allegheny,15212,,2,4.5,1815,,,,,1100,2100,1100,2100,1100,2100,1100,2200,1100,2200
