place_id,name,business_status,formatted_address,latitude,longitude,price_level,rating,user_ratings_total
ChIJt1-O1Tr3NIgRuWJRAaD-mmc,Moonlite Cafe,OPERATIONAL,"530 Brookline Blvd, Pittsburgh, PA 15226",40.3955522,-80.02280379999999,1,4.6,416
ChIJXTWUdlX3NIgRLsxLV-6novE,Alquisiras Paleteria,OPERATIONAL,"2056 Broadway Ave, Pittsburgh, PA 15216",40.4052218,-80.0301753,,4.5,168
ChIJgwGoTkr3NIgRieT0XxmhOdg,Amel's Restaurant,OPERATIONAL,"435 McNeilly Rd, Pittsburgh, PA 15226",40.3830658,-80.01556599999999,2,4.5,796
ChIJq8aTMiD3NIgRhl34BM3M62I,Slice on Broadway-Beechview,OPERATIONAL,"2128 Broadway Ave, Pittsburgh, PA 15216",40.4041462,-80.0303933,1,4.3,501
ChIJYRzUZHL3NIgR7gPA3I7dPSo,Btos kitchen tacos cerveza y tequila,OPERATIONAL,"3001 W Liberty Ave, Pittsburgh, PA 15216",40.392926,-80.03688869999999,,4.6,110
ChIJV5T8ZFj3NIgRwPq8B4iUjYQ,Namaste India,OPERATIONAL,"1150 Banksville Rd, Pittsburgh, PA 15216",40.4192308,-80.0303476,,0,0
ChIJeSJPCur3NIgRG2JwDtlfD3s,Chip and Kale,OPERATIONAL,"2102 Broadway Ave, Pittsburgh, PA 15216",40.4053621,-80.0301139,,5,7
ChIJncbtvEzxNIgRtSOWudAmLC4,Sesame Garden,OPERATIONAL,"202 Shiloh St, Pittsburgh, PA 15211",40.43059,-80.0076212,,4.1,269
ChIJm4toDKT3NIgRUE-VqjMRAaI,Knossos Gyros,OPERATIONAL,"1439 Potomac Ave, Pittsburgh, PA 15216",40.395957,-80.035089,1,4.2,67
ChIJOZ3bWxf3NIgRp5JFr2ZxaLw,Don Campiti's Pizzeria,OPERATIONAL,"1509 Potomac Ave, South Hills, PA 15216",40.3966855,-80.0356407,1,4.4,379
ChIJ62Pn2n33NIgRrYZKBe7etvk,Jules Market and Sidewalk Cafe,OPERATIONAL,"230 Virginia Ave, Mt Washington, PA 15211",40.4313748,-80.0104197,,4.3,12
ChIJ9R6o7hz3NIgRoXHX6b9F_yI,Kabab and Curry Restaurant - Indian and Pakistani Cuisine,OPERATIONAL,"2890 Banksville Rd, Pittsburgh, PA 15216",40.404046,-80.0405052,2,4.7,1997
ChIJsb73t8v3NIgRXRpXRGzmj0U,Pabellón Venezuelan & Mexican Cuisine,OPERATIONAL,"2957 Banksville Rd, Pittsburgh, PA 15216",40.4021603,-80.0414231,1,4.6,369
ChIJAUeyl8f3NIgRTwaDXz1HcGs,Oak Hill Post,OPERATIONAL,"600 Brookline Blvd, Pittsburgh, PA 15226",40.3952469,-80.02243469999999,,4.9,222
ChIJyQLvQhf3NIgRxsBt6-pgAvQ,Fredo's Delicatessen,OPERATIONAL,"1451 Potomac Ave, Pittsburgh, PA 15216",40.3962402,-80.0353169,1,4.7,158
ChIJnxGpywT3NIgR8_qyfVf3EM4,Mintt Indian Cuisine,OPERATIONAL,"3033 Banksville Rd, Pittsburgh, PA 15216",40.40106300000001,-80.0425186,2,3.9,1000
ChIJIZT2Ogv3NIgRMd0N9JTWs54,Cafe io,OPERATIONAL,"300 Beverly Rd, Pittsburgh, PA 15216",40.38886830000001,-80.04992639999999,2,4.6,259
ChIJPVFI4jD3NIgR5Jo9EvY00m8,Jolina's Mediterranean Cuisine,OPERATIONAL,"1011 Brookline Blvd, Pittsburgh, PA 15226",40.392127,-80.017296,2,4.7,202
ChIJ2cp3SQv3NIgRXniz0xnZfNI,New Saigon,OPERATIONAL,"1429 Potomac Ave, Pittsburgh, PA 15216",40.395543,-80.034904,2,4.8,54
ChIJAevxtlv3NIgR0JMMUbjRzvw,Mike & Tony's Gyros,OPERATIONAL,"2935 W Liberty Ave, Pittsburgh, PA 15216",40.3943672,-80.0350674,,4.6,270
ChIJOzCDRRH3NIgRxhpNGfKiAJ8,My Thai,OPERATIONAL,"3024 W Liberty Ave, Pittsburgh, PA 15216",40.3927676,-80.0373908,2,4.5,429
